timestamp,ticker,open,high,low,close,volume
2025-10-20 08:00:00+00:00,AAPL,253.0358,253.5253,253.0258,253.2956,19429
2025-10-20 08:05:00+00:00,AAPL,253.3056,253.3355,253.0658,253.3056,6233
2025-10-20 08:10:00+00:00,AAPL,253.3056,253.4454,253.0858,253.2756,4174
2025-10-20 08:15:00+00:00,AAPL,253.2756,253.2756,252.9559,252.9759,5070
2025-10-20 08:20:00+00:00,AAPL,252.9759,253.2057,252.9159,253.0258,2099
2025-10-20 08:25:00+00:00,AAPL,253.0458,253.1257,252.9559,252.9759,1454
2025-10-20 08:30:00+00:00,AAPL,252.9559,253.0558,252.9059,252.9159,1497
2025-10-20 08:35:00+00:00,AAPL,252.9059,253.0458,252.846,252.886,1468
2025-10-20 08:40:00+00:00,AAPL,252.9359,252.9859,252.846,252.866,1893
2025-10-20 08:45:00+00:00,AAPL,252.866,253.1457,252.836,252.9159,2432
2025-10-20 08:50:00+00:00,AAPL,253.0558,253.0658,252.9059,253.0058,1384
2025-10-20 08:55:00+00:00,AAPL,253.0258,253.1857,252.9659,253.0058,3963
2025-10-20 09:00:00+00:00,AAPL,252.9659,253.1957,252.9059,253.1058,3155
2025-10-20 09:05:00+00:00,AAPL,253.0858,253.1357,252.9059,253.0458,1033
2025-10-20 09:10:00+00:00,AAPL,253.0258,253.0258,252.856,252.9359,1590
2025-10-20 09:15:00+00:00,AAPL,252.9559,252.9659,252.886,252.9559,2283
2025-10-20 09:20:00+00:00,AAPL,252.9559,253.0458,252.7561,252.9459,4092
2025-10-20 09:25:00+00:00,AAPL,252.9559,253.0258,252.856,252.9859,1046
2025-10-20 09:30:00+00:00,AAPL,252.9459,252.9859,252.866,252.876,1117
2025-10-20 09:35:00+00:00,AAPL,252.9059,252.9559,252.7961,252.9059,871
2025-10-20 09:40:00+00:00,AAPL,252.9059,252.9559,252.856,252.9359,137
2025-10-20 09:45:00+00:00,AAPL,252.9459,252.9959,252.876,252.9159,1191
2025-10-20 09:50:00+00:00,AAPL,252.9559,252.9759,252.876,252.9759,751
2025-10-20 09:55:00+00:00,AAPL,252.9959,253.2856,252.9759,253.2856,4709
2025-10-20 10:00:00+00:00,AAPL,253.2656,253.3755,253.0858,253.1957,4468
2025-10-20 10:05:00+00:00,AAPL,253.1257,253.2856,253.0458,253.2256,699
2025-10-20 10:10:00+00:00,AAPL,253.2156,253.3455,252.7561,252.9559,6323
2025-10-20 10:15:00+00:00,AAPL,253.1257,253.1957,252.7961,252.856,3530
2025-10-20 10:20:00+00:00,AAPL,253.0058,253.0558,252.856,252.9559,2101
2025-10-20 10:25:00+00:00,AAPL,252.9559,253.2656,252.9159,252.9959,4580
2025-10-20 10:30:00+00:00,AAPL,252.9959,253.6552,252.9959,253.4155,8218
2025-10-20 10:35:00+00:00,AAPL,253.4654,253.7551,253.4155,253.5054,5111
2025-10-20 10:40:00+00:00,AAPL,253.5853,253.5953,253.3056,253.3955,1203
2025-10-20 10:45:00+00:00,AAPL,253.3355,253.5553,253.0558,253.4554,8341
2025-10-20 10:50:00+00:00,AAPL,253.4354,255.8131,253.1657,254.7841,64607
2025-10-20 10:55:00+00:00,AAPL,254.5544,254.7442,254.2546,254.3645,23778
2025-10-20 11:00:00+00:00,AAPL,254.3545,255.2537,254.0548,254.874,50141
2025-10-20 11:05:00+00:00,AAPL,254.8241,254.924,254.6543,254.8041,20305
2025-10-20 11:10:00+00:00,AAPL,254.8441,255.3736,254.8041,255.2936,17133
2025-10-20 11:15:00+00:00,AAPL,255.3036,255.3536,255.0439,255.0739,8050
2025-10-20 11:20:00+00:00,AAPL,255.0539,255.3036,255.0039,255.2737,6066
2025-10-20 11:25:00+00:00,AAPL,255.2637,255.6433,255.2637,255.5734,8894
2025-10-20 11:30:00+00:00,AAPL,255.5834,255.6533,255.2737,255.5234,21778
2025-10-20 11:35:00+00:00,AAPL,255.5334,255.6033,255.4635,255.4735,13516
2025-10-20 11:40:00+00:00,AAPL,255.4735,255.5434,255.3836,255.4785,8248
2025-10-20 11:45:00+00:00,AAPL,255.4934,255.6133,255.4934,255.5334,20522
2025-10-20 11:50:00+00:00,AAPL,255.5534,255.8531,255.5034,255.7432,18501
2025-10-20 11:55:00+00:00,AAPL,255.7532,256.003,255.6833,255.8531,10688
2025-10-20 12:00:00+00:00,AAPL,253.0658,256.003,251.4174,255.6933,388875
2025-10-20 12:05:00+00:00,AAPL,255.6733,255.9529,252.0468,255.8131,14570
2025-10-20 12:10:00+00:00,AAPL,255.7638,256.0429,252.0468,255.7532,89513
2025-10-20 12:15:00+00:00,AAPL,255.7532,255.7929,255.5434,255.5534,12052
2025-10-20 12:20:00+00:00,AAPL,255.5834,255.9031,255.5034,255.8248,23389
2025-10-20 12:25:00+00:00,AAPL,255.8231,256.4325,255.8131,256.3426,32363
2025-10-20 12:30:00+00:00,AAPL,256.3326,256.6523,256.2527,256.401,55540
2025-10-20 12:35:00+00:00,AAPL,256.3586,256.5624,256.3426,256.5119,36812
2025-10-20 12:40:00+00:00,AAPL,256.4925,256.6623,256.3526,256.5928,41380
2025-10-20 12:45:00+00:00,AAPL,256.6124,256.7123,256.3926,256.4126,26825
2025-10-20 12:50:00+00:00,AAPL,256.4026,256.5924,256.4026,256.4525,16729
2025-10-20 12:55:00+00:00,AAPL,256.4086,256.5924,256.4026,256.5424,12983
2025-10-20 13:00:00+00:00,AAPL,256.5324,257.3916,256.5085,257.3117,107063
2025-10-20 13:05:00+00:00,AAPL,257.3317,257.3716,256.7522,257.008,42495
2025-10-20 13:10:00+00:00,AAPL,257.0519,257.0719,256.8022,256.8821,26303
2025-10-20 13:15:00+00:00,AAPL,256.8816,256.8846,256.5324,256.7522,50621
2025-10-20 13:20:00+00:00,AAPL,256.8315,257.0819,256.7522,256.8921,55309
2025-10-20 13:25:00+00:00,AAPL,256.8521,256.8821,255.1738,255.5834,232970
2025-10-20 13:30:00+00:00,AAPL,255.6383,258.9601,255.3836,258.1509,4893686
2025-10-20 13:35:00+00:00,AAPL,258.1509,258.4606,257.4816,258.051,1457829
2025-10-20 13:40:00+00:00,AAPL,258.1109,258.7103,258.021,258.2008,1210384
2025-10-20 13:45:00+00:00,AAPL,258.2208,258.3707,257.4915,257.8362,914951
2025-10-20 13:50:00+00:00,AAPL,257.8412,258.8902,257.7613,258.6404,1264673
2025-10-20 13:55:00+00:00,AAPL,258.6604,259.6195,258.1709,258.7278,2325719
2025-10-20 14:00:00+00:00,AAPL,258.7503,259.3197,258.171,258.6304,1331733
2025-10-20 14:05:00+00:00,AAPL,258.6204,258.7403,258.2108,258.2308,935551
2025-10-20 14:10:00+00:00,AAPL,258.2308,258.5705,255.5254,258.4106,956251
2025-10-20 14:15:00+00:00,AAPL,258.4306,258.5005,258.151,258.2108,661103
2025-10-20 14:20:00+00:00,AAPL,258.2008,258.7503,258.1958,258.6154,778279
